actual_explainer_model_a,actual_explainer_model_b,arm_a,arm_b,athlete_band,explainer_model_a,explainer_model_b,explainer_temperature_a,explainer_temperature_b,explainer_verified_a,explainer_verified_b,feature_gaps,fixture_id,generation_condition_a,generation_condition_b,match_distance,match_rule,old_quality_score_a,old_quality_score_b,pair_id,plan_a_id,plan_b_id,plan_days,race_phase,readiness,recovery_capability,score_a,score_b,score_bin,score_bin_a,score_bin_b,score_gap,source_model_a,source_model_b,source_temperature_a,source_temperature_b,structural_score_a,structural_score_b,structural_score_gap,structural_score_version
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 6.0, ""mean_day_minutes"": 17.714, ""n_active_days"": 1.0, ""n_hard_days"": 0.0, ""n_long_runs"": 0.0, ""n_quality_days"": 0.0, ""n_rest_days"": 1.0, ""total_minutes"": 124.0}","ab_A1__r_high__rc_high__ph_base","None","None","5.954","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0000","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s008","7","base","high","high","92.0","92.0","92","92","92","0.0","google/gemma-3-4b-it","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 14.0, ""mean_day_minutes"": 13.0, ""n_active_days"": 1.0, ""n_hard_days"": 2.0, ""n_long_runs"": 0.0, ""n_quality_days"": 2.0, ""n_rest_days"": 1.0, ""total_minutes"": 91.0}","ab_A1__r_high__rc_high__ph_base","None","None","13.36","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0001","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s001","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s009","7","base","high","high","82.0","84.0","82","82","84","2.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","82.0","84.0","2.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 10.0, ""mean_day_minutes"": 14.714, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 0.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 103.0}","ab_A1__r_high__rc_high__ph_base","None","None","6.554","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0002","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s010","7","base","high","high","92.0","92.0","92","92","92","0.0","google/gemma-3-4b-it","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 32.0, ""mean_day_minutes"": 3.857, ""n_active_days"": 2.0, ""n_hard_days"": 2.0, ""n_long_runs"": 1.0, ""n_quality_days"": 2.0, ""n_rest_days"": 2.0, ""total_minutes"": 27.0}","ab_A1__r_high__rc_high__ph_base","None","None","17.257","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0003","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s000","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s017","7","base","high","high","87.0","87.0","87","87","87","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 0.0, ""mean_day_minutes"": 21.571, ""n_active_days"": 1.0, ""n_hard_days"": 1.0, ""n_long_runs"": 0.0, ""n_quality_days"": 1.0, ""n_rest_days"": 1.0, ""total_minutes"": 151.0}","ab_A1__r_high__rc_high__ph_base","None","None","10.451","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0004","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s002","7","base","high","high","92.0","92.0","92","92","92","0.0","google/gemma-3-4b-it","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 35.0, ""mean_day_minutes"": 18.143, ""n_active_days"": 2.0, ""n_hard_days"": 2.0, ""n_long_runs"": 2.0, ""n_quality_days"": 2.0, ""n_rest_days"": 2.0, ""total_minutes"": 127.0}","ab_A1__r_high__rc_high__ph_base","None","None","21.603","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0005","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s003","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s016","7","base","high","high","87.0","89.0","87","87","89","2.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","87.0","89.0","2.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 21.0, ""mean_day_minutes"": 8.429, ""n_active_days"": 0.0, ""n_hard_days"": 2.0, ""n_long_runs"": 1.0, ""n_quality_days"": 2.0, ""n_rest_days"": 0.0, ""total_minutes"": 59.0}","ab_A1__r_high__rc_high__ph_base","None","None","11.769","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0006","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s003","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s011","7","base","high","high","92.0","92.0","92","92","92","0.0","google/gemma-3-4b-it","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 0.0, ""mean_day_minutes"": 6.0, ""n_active_days"": 1.0, ""n_hard_days"": 0.0, ""n_long_runs"": 0.0, ""n_quality_days"": 0.0, ""n_rest_days"": 1.0, ""total_minutes"": 42.0}","ab_A1__r_high__rc_high__ph_peak","None","None","3.96","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0007","ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000","ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s008","7","peak","high","high","84.0","84.0","84","84","84","0.0","google/gemma-3-4b-it","None","None","None","84.0","84.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 13.0, ""mean_day_minutes"": 2.714, ""n_active_days"": 0.0, ""n_hard_days"": 2.0, ""n_long_runs"": 0.0, ""n_quality_days"": 2.0, ""n_rest_days"": 0.0, ""total_minutes"": 19.0}","ab_A1__r_high__rc_high__ph_peak","None","None","8.694","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0008","ab_A1__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s000","ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s011","7","peak","high","high","84.0","84.0","84","84","84","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","84.0","84.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 17.0, ""mean_day_minutes"": 10.429, ""n_active_days"": 0.0, ""n_hard_days"": 2.0, ""n_long_runs"": 0.0, ""n_quality_days"": 2.0, ""n_rest_days"": 0.0, ""total_minutes"": 73.0}","ab_A1__r_high__rc_high__ph_peak","None","None","10.009","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0009","ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s001","ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s016","7","peak","high","high","84.0","84.0","84","84","84","0.0","google/gemma-3-4b-it","None","None","None","84.0","84.0","0.0","structural_score_v1.0.0"
