arm,athlete_band,fixture_id,max_day_minutes,mean_day_minutes,n_active_days,n_hard_days,n_long_runs,n_quality_days,n_rest_days,plan_days,plan_id,plan_path,race_phase,readiness,recovery_capability,score,session_signature,source_family,source_leaks,source_model,structural_score,structural_score_version,style,style_n_citations,style_n_claim_attributions,style_n_data_notes,style_purpose_chars,style_title_chars,style_workout_chars,total_minutes,violations
"llm","A1","ab_A1__r_high__rc_high__ph_base","60.0","50.42857142857143","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000.json","base","high","high","92.0","aerobic:53:0:0|aerobic:60:0:0|aerobic:60:0:0|rest:0:1:0|aerobic:60:0:0|aerobic:60:0:0|aerobic:60:0:0","gemma","[]","google/gemma-3-4b-it","92.0","structural_score_v1.0.0","trailrunning","8.0","8.0","3.0","841.0","74.0","309.0","353.0","[""missing_long_run""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","60.0","50.42857142857143","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001.json","base","high","high","92.0","easy:53:0:0|easy:60:0:0|easy:60:0:0|rest:0:1:0|easy:60:0:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","92.0","structural_score_v1.0.0","trailrunning","13.0","12.0","5.0","675.0","56.0","404.0","353.0","[""missing_long_run""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","60.0","50.42857142857143","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002.json","base","high","high","92.0","easy:60:0:0|easy:60:0:0|easy:60:0:0|rest:0:1:0|easy:53:0:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","92.0","structural_score_v1.0.0","trailrunning","9.0","12.0","3.0","367.0","56.0","363.0","353.0","[""missing_long_run""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","60.0","50.42857142857143","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s003","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s003.json","base","high","high","92.0","easy:53:0:0|easy:60:0:0|easy:60:0:0|rest:0:1:0|easy:60:0:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","92.0","structural_score_v1.0.0","trailrunning","16.0","14.0","5.0","1387.0","56.0","233.0","353.0","[""missing_long_run""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","60.0","50.42857142857143","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s004","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s004.json","base","high","high","92.0","aerobic:53:0:0|aerobic:60:0:0|aerobic:60:0:0|rest:0:1:0|aerobic:60:0:0|aerobic:60:0:0|aerobic:60:0:0","gemma","[]","google/gemma-3-4b-it","92.0","structural_score_v1.0.0","trailrunning","9.0","13.0","3.0","1651.0","74.0","113.0","353.0","[""missing_long_run""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","60.0","50.42857142857143","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s005","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s005.json","base","high","high","92.0","easy:53:0:0|easy:60:0:0|easy:60:0:0|rest:0:1:0|easy:60:0:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","92.0","structural_score_v1.0.0","trailrunning","9.0","12.0","3.0","715.0","56.0","223.0","353.0","[""missing_long_run""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","97.0","50.42857142857143","6.0","0.0","2.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s000","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s000.json","base","high","high","97.0","long:97:0:0|long:81:0:0|aerobic:34:0:0|easy:50:0:0|rest:0:1:0|strength:29:0:0|easy:62:0:0","programmatic","[]","None","97.0","structural_score_v1.0.0","trailrunning","9.0","8.0","3.0","337.0","67.0","290.0","353.0","[""multiple_long_runs""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","57.0","30.571428571428573","6.0","2.0","0.0","2.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s001","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s001.json","base","high","high","79.0","rest:0:1:0|easy:22:0:0|tempo:45:0:1|hills:57:0:1|easy:34:0:0|easy:20:0:0|easy:36:0:0","programmatic","[]","None","79.0","structural_score_v1.0.0","trailrunning","7.0","12.0","6.0","361.0","65.0","293.0","214.0","[""hard_days_too_close"", ""missing_long_run"", ""too_many_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","60.0","28.857142857142858","5.0","1.0","0.0","1.0","2.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s002","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s002.json","base","high","high","92.0","easy:26:0:0|cross:60:0:0|rest:0:1:0|rest:0:1:0|cross:29:0:0|easy:41:0:0|tempo:46:0:1","programmatic","[]","None","92.0","structural_score_v1.0.0","trailrunning","9.0","7.0","5.0","329.0","73.0","277.0","202.0","[""missing_long_run""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","101.0","45.285714285714285","5.0","0.0","2.0","0.0","2.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s003","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s003.json","base","high","high","97.0","strength:21:0:0|easy:48:0:0|aerobic:76:0:0|long:71:0:0|long:101:0:0|rest:0:1:0|rest:0:1:0","programmatic","[]","None","97.0","structural_score_v1.0.0","trailrunning","9.0","7.0","3.0","324.0","67.0","283.0","317.0","[""multiple_long_runs""]"
