marker,athlete_band,llm_wins,programmatic_wins,ties,non_tie_decisions,llm_win_rate_excl_ties_pct,tie_rate_pct
clarity_actionability,A1,479,1129,792,1608,29.79,33.0
clarity_actionability,A2,453,968,779,1421,31.88,35.41
clarity_actionability,A3,916,1035,1009,1951,46.95,34.09
clarity_actionability,A4,862,830,748,1692,50.95,30.66
plan_coherence,A1,469,1390,541,1859,25.23,22.54
plan_coherence,A2,460,1244,496,1704,27.0,22.55
plan_coherence,A3,1032,1347,581,2379,43.38,19.63
plan_coherence,A4,874,1059,507,1933,45.21,20.78
recovery_safety,A1,732,1095,573,1827,40.07,23.88
recovery_safety,A2,676,992,532,1668,40.53,24.18
recovery_safety,A3,972,1444,544,2416,40.23,18.38
recovery_safety,A4,723,1308,409,2031,35.6,16.76
readiness_alignment,A1,618,886,896,1504,41.09,37.33
readiness_alignment,A2,627,835,738,1462,42.89,33.55
readiness_alignment,A3,880,1371,709,2251,39.09,23.95
readiness_alignment,A4,738,1232,470,1970,37.46,19.26
load_progression,A1,585,1596,219,2181,26.82,9.12
load_progression,A2,577,1428,195,2005,28.78,8.86
load_progression,A3,1112,1638,210,2750,40.44,7.09
load_progression,A4,944,1285,211,2229,42.35,8.65
endurance_development,A1,389,1916,95,2305,16.88,3.96
endurance_development,A2,356,1673,171,2029,17.55,7.77
endurance_development,A3,1225,1547,188,2772,44.19,6.35
endurance_development,A4,1076,1103,261,2179,49.38,10.7
quality_session_design,A1,232,1785,383,2017,11.5,15.96
quality_session_design,A2,303,1394,503,1697,17.86,22.86
quality_session_design,A3,1190,1346,424,2536,46.92,14.32
quality_session_design,A4,1058,1014,368,2072,51.06,15.08
explanation_quality,A1,426,1413,561,1839,23.16,23.38
explanation_quality,A2,331,1331,538,1662,19.92,24.45
explanation_quality,A3,956,1492,512,2448,39.05,17.3
explanation_quality,A4,865,1189,386,2054,42.11,15.82
training_specificity,A1,766,1387,247,2153,35.58,10.29
training_specificity,A2,726,1235,239,1961,37.02,10.86
training_specificity,A3,1586,1115,259,2701,58.72,8.75
training_specificity,A4,1290,893,257,2183,59.09,10.53
