marker,judge_family,source_family,llm_wins_ex_ties,non_tie_decisions,llm_win_rate_ex_ties
clarity_actionability,gemma,gemma,935,2306,40.55
clarity_actionability,gemma,qwen,1006,2507,40.13
clarity_actionability,qwen,gemma,420,987,42.55
clarity_actionability,qwen,qwen,349,872,40.02
endurance_development,gemma,gemma,784,2166,36.2
endurance_development,gemma,qwen,806,2474,32.58
endurance_development,qwen,gemma,704,2147,32.79
endurance_development,qwen,qwen,752,2498,30.1
explanation_quality,gemma,gemma,573,2029,28.24
explanation_quality,gemma,qwen,680,2162,31.45
explanation_quality,qwen,gemma,641,1862,34.43
explanation_quality,qwen,qwen,684,1950,35.08
load_progression,gemma,gemma,712,2205,32.29
load_progression,gemma,qwen,907,2605,34.82
load_progression,qwen,gemma,771,2021,38.15
load_progression,qwen,qwen,828,2334,35.48
plan_coherence,gemma,gemma,748,2104,35.55
plan_coherence,gemma,qwen,904,2330,38.8
plan_coherence,qwen,gemma,611,1669,36.61
plan_coherence,qwen,qwen,572,1772,32.28
quality_session_design,gemma,gemma,575,2127,27.03
quality_session_design,gemma,qwen,681,2138,31.85
quality_session_design,qwen,gemma,698,1963,35.56
quality_session_design,qwen,qwen,829,2094,39.59
readiness_alignment,gemma,gemma,665,1617,41.13
readiness_alignment,gemma,qwen,761,1796,42.37
readiness_alignment,qwen,gemma,758,1838,41.24
readiness_alignment,qwen,qwen,679,1936,35.07
recovery_safety,gemma,gemma,863,2153,40.08
recovery_safety,gemma,qwen,958,2338,40.98
recovery_safety,qwen,gemma,658,1647,39.95
recovery_safety,qwen,qwen,624,1804,34.59
training_specificity,gemma,gemma,1197,2188,54.71
training_specificity,gemma,qwen,1241,2438,50.9
training_specificity,qwen,gemma,904,2033,44.47
training_specificity,qwen,qwen,1026,2339,43.86
