Check,Expected,Observed,Status,Notes
Matched pairs,250,250,pass,Unique matched pairs evaluated
Judges,4,4,pass,"gemma_12b_judge, gemma_4b_judge, qwen_14b_judge, qwen_7b_judge"
Runs per pair/judge/order,5,5,pass,Minimum observed run count across cells
Orders,2,2,pass,AB and BA
Primary judgments,10000,10000,pass,250 x 4 x 5 x 2
Unique record IDs,10000,10000,pass,No duplicate record IDs
Missing primary records,0,0,pass,Expected minus observed
Duplicate primary records,0,0,pass,Duplicate pair/judge/run/order rows
Winner parse failures,0,0,pass,Invalid or missing winner_source
Marker judges present,4,4,pass,"gemma_12b_judge, gemma_4b_judge, qwen_14b_judge, qwen_7b_judge"
Marker records,10000,10000,pass,One marker record per primary comparison
Marker decisions,90000,90000,pass,"10,000 x 9 markers"
Marker parse failures,0,0,pass,Wrong or missing marker object count
