Analysis subset,Unit of clustering,LLM win rate,95% CI lower,95% CI upper,Bootstrap iterations,Notes
Full sample,pair_id,0.3653,0.3324475,0.3986525,500,Resampled matched pairs with replacement
Artifact-clean subset,pair_id,0.34441747572815534,0.2961165048543689,0.39150485436893206,500,Resampled matched pairs with replacement
Artifact-present subset,pair_id,0.37993197278911567,0.3384268707482993,0.42262755102040817,500,Resampled matched pairs with replacement
A1,pair_id,0.125,0.07598958333333333,0.1781770833333333,500,Resampled matched pairs with replacement
A2,pair_id,0.24545454545454545,0.18409090909090908,0.3216477272727272,500,Resampled matched pairs with replacement
A3,pair_id,0.5108108108108108,0.4673902027027027,0.5496790540540542,500,Resampled matched pairs with replacement
A4,pair_id,0.5331967213114754,0.4893237704918033,0.5811885245901639,500,Resampled matched pairs with replacement
qwen_7b_judge,pair_id,0.4168,0.36977,0.46101,500,Resampled matched pairs with replacement
qwen_14b_judge,pair_id,0.414,0.384,0.44904999999999995,500,Resampled matched pairs with replacement
gemma_4b_judge,pair_id,0.3344,0.30019,0.37442,500,Resampled matched pairs with replacement
gemma_12b_judge,pair_id,0.296,0.252,0.33704999999999996,500,Resampled matched pairs with replacement
