Fixture ID,athlete_band,readiness,recovery_capability,race_phase,Candidate LLM plans,Candidate programmatic plans,Matched pairs,Qwen-source matched pairs,Gemma-source matched pairs,Share of final pairs
,,,,,0,1,0,0,0,0.0
ab_A1__r_high__rc_high__ph_base,A1,high,high,base,12,0,7,6,1,0.028
ab_A1__r_high__rc_high__ph_peak,A1,high,high,peak,12,0,4,4,0,0.016
ab_A1__r_high__rc_low__ph_base,A1,high,low,base,12,0,8,5,3,0.032
ab_A1__r_high__rc_low__ph_peak,A1,high,low,peak,12,0,5,4,1,0.02
ab_A1__r_low__rc_high__ph_base,A1,low,high,base,12,0,10,6,4,0.04
ab_A1__r_low__rc_high__ph_peak,A1,low,high,peak,12,0,7,4,3,0.028
ab_A1__r_low__rc_low__ph_base,A1,low,low,base,12,0,10,6,4,0.04
ab_A1__r_low__rc_low__ph_peak,A1,low,low,peak,12,0,9,5,4,0.036
ab_A2__r_high__rc_high__ph_base,A2,high,high,base,12,0,8,3,5,0.032
ab_A2__r_high__rc_high__ph_peak,A2,high,high,peak,12,0,6,4,2,0.024
ab_A2__r_high__rc_low__ph_base,A2,high,low,base,12,0,5,4,1,0.02
ab_A2__r_high__rc_low__ph_peak,A2,high,low,peak,12,0,5,3,2,0.02
ab_A2__r_low__rc_high__ph_base,A2,low,high,base,12,0,9,5,4,0.036
ab_A2__r_low__rc_high__ph_peak,A2,low,high,peak,12,0,7,4,3,0.028
ab_A2__r_low__rc_low__ph_base,A2,low,low,base,12,0,8,6,2,0.032
ab_A2__r_low__rc_low__ph_peak,A2,low,low,peak,12,0,7,5,2,0.028
ab_A3__r_high__rc_high__ph_base,A3,high,high,base,12,0,10,5,5,0.04
ab_A3__r_high__rc_high__ph_peak,A3,high,high,peak,12,0,9,4,5,0.036
ab_A3__r_high__rc_low__ph_base,A3,high,low,base,12,0,7,2,5,0.028
ab_A3__r_high__rc_low__ph_peak,A3,high,low,peak,12,0,10,5,5,0.04
ab_A3__r_low__rc_high__ph_base,A3,low,high,base,12,0,10,5,5,0.04
ab_A3__r_low__rc_high__ph_peak,A3,low,high,peak,12,0,10,5,5,0.04
ab_A3__r_low__rc_low__ph_base,A3,low,low,base,12,0,11,5,6,0.044
ab_A3__r_low__rc_low__ph_peak,A3,low,low,peak,12,0,7,2,5,0.028
ab_A4__r_high__rc_high__ph_base,A4,high,high,base,12,0,9,4,5,0.036
ab_A4__r_high__rc_high__ph_peak,A4,high,high,peak,12,0,7,3,4,0.028
ab_A4__r_high__rc_low__ph_base,A4,high,low,base,12,0,6,1,5,0.024
ab_A4__r_high__rc_low__ph_peak,A4,high,low,peak,12,0,8,5,3,0.032
ab_A4__r_low__rc_high__ph_base,A4,low,high,base,12,0,10,5,5,0.04
ab_A4__r_low__rc_high__ph_peak,A4,low,high,peak,12,0,7,3,4,0.028
ab_A4__r_low__rc_low__ph_base,A4,low,low,base,12,0,9,3,6,0.036
ab_A4__r_low__rc_low__ph_peak,A4,low,low,peak,12,0,5,3,2,0.02
