leakage_split,llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_wins,tie_rate,ties
clean,0.2407766990291262,0.40064620355411956,0.44029126213592235,992,clarity_actionability,4120,1484,0.3990291262135922,1644
clean,0.26990291262135924,0.2938689217758985,0.3106796116504854,1112,endurance_development,4120,2672,0.08155339805825243,336
clean,0.24320388349514563,0.3230174081237911,0.366747572815534,1002,explanation_quality,4120,2100,0.2470873786407767,1018
clean,0.3400485436893204,0.37479935794542535,0.3864077669902913,1401,load_progression,4120,2337,0.09271844660194174,382
clean,0.2716019417475728,0.3656862745098039,0.4002427184466019,1119,plan_coherence,4120,1941,0.25728155339805825,1060
clean,0.26019417475728157,0.3403174603174603,0.3779126213592233,1072,quality_session_design,4120,2078,0.2354368932038835,970
clean,0.27548543689320387,0.414536157779401,0.4432038834951456,1135,readiness_alignment,4120,1603,0.3354368932038835,1382
clean,0.29393203883495145,0.3982242683327853,0.424878640776699,1211,recovery_safety,4120,1830,0.26189320388349513,1079
clean,0.4211165048543689,0.48194444444444445,0.4842233009708738,1735,training_specificity,4120,1865,0.1262135922330097,520
flagged,0.29217687074829934,0.4094375595805529,0.43537414965986393,1718,clarity_actionability,5880,2478,0.2863945578231292,1684
flagged,0.32891156462585036,0.3515724413742956,0.36113945578231293,1934,endurance_development,5880,3567,0.06445578231292518,379
flagged,0.2680272108843537,0.32156702713731894,0.35127551020408165,1576,explanation_quality,5880,3325,0.1664965986394558,979
flagged,0.3090136054421769,0.33480744426018055,0.34753401360544217,1817,load_progression,5880,3610,0.0770408163265306,453
flagged,0.29183673469387755,0.356386292834891,0.3823979591836735,1716,plan_coherence,5880,3099,0.18112244897959184,1065
flagged,0.2909863945578231,0.3308197989172467,0.35119047619047616,1711,quality_session_design,5880,3461,0.12040816326530612,708
flagged,0.2938775510204082,0.38840188806473364,0.41556122448979593,1728,readiness_alignment,5880,2721,0.24336734693877551,1431
flagged,0.3217687074829932,0.3860436645582534,0.40501700680272107,1892,recovery_safety,5880,3009,0.1664965986394558,979
flagged,0.4477891156462585,0.4877732493516117,0.4887755102040816,2633,training_specificity,5880,2765,0.08197278911564626,482
