judge,llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_wins,tie_rate,ties
gemma_12b_judge,0.22524271844660193,0.26605504587155965,0.30194174757281556,232,clarity_actionability,1030,640,0.1533980582524272,158
gemma_4b_judge,0.49514563106796117,0.4975609756097561,0.4975728155339806,510,clarity_actionability,1030,515,0.0048543689320388345,5
qwen_14b_judge,0.06310679611650485,0.38235294117647056,0.48058252427184467,65,clarity_actionability,1030,105,0.8349514563106796,860
qwen_7b_judge,0.1796116504854369,0.45232273838630804,0.4810679611650485,185,clarity_actionability,1030,224,0.6029126213592233,621
gemma_12b_judge,0.3116504854368932,0.375,0.39611650485436894,321,endurance_development,1030,535,0.16893203883495145,174
gemma_4b_judge,0.27475728155339807,0.27475728155339807,0.27475728155339807,283,endurance_development,1030,747,0.0,0
qwen_14b_judge,0.2087378640776699,0.22395833333333334,0.24271844660194175,215,endurance_development,1030,745,0.06796116504854369,70
qwen_7b_judge,0.28446601941747574,0.31236673773987206,0.329126213592233,293,endurance_development,1030,645,0.08932038834951456,92
gemma_12b_judge,0.17378640776699028,0.186264308012487,0.20728155339805826,179,explanation_quality,1030,782,0.06699029126213592,69
gemma_4b_judge,0.3524271844660194,0.5307017543859649,0.5203883495145631,363,explanation_quality,1030,321,0.3359223300970874,346
qwen_14b_judge,0.11650485436893204,0.1791044776119403,0.2912621359223301,120,explanation_quality,1030,550,0.34951456310679613,360
qwen_7b_judge,0.3300970873786408,0.4320203303684879,0.44805825242718444,340,explanation_quality,1030,447,0.23592233009708738,243
gemma_12b_judge,0.20776699029126214,0.2150753768844221,0.22475728155339805,214,load_progression,1030,781,0.03398058252427184,35
gemma_4b_judge,0.5339805825242718,0.5527638190954773,0.5509708737864077,550,load_progression,1030,445,0.03398058252427184,35
qwen_14b_judge,0.20485436893203884,0.23444444444444446,0.26796116504854367,211,load_progression,1030,689,0.1262135922330097,130
qwen_7b_judge,0.41359223300970877,0.5023584905660378,0.5019417475728155,426,load_progression,1030,422,0.1766990291262136,182
gemma_12b_judge,0.23009708737864076,0.3114323258869908,0.36067961165048545,237,plan_coherence,1030,524,0.2611650485436893,269
gemma_4b_judge,0.4854368932038835,0.5040322580645161,0.503883495145631,500,plan_coherence,1030,492,0.036893203883495145,38
qwen_14b_judge,0.19029126213592232,0.23058823529411765,0.27766990291262134,196,plan_coherence,1030,654,0.17475728155339806,180
qwen_7b_judge,0.18058252427184465,0.40700218818380746,0.4587378640776699,186,plan_coherence,1030,271,0.5563106796116505,573
gemma_12b_judge,0.18543689320388348,0.2720797720797721,0.3446601941747573,191,quality_session_design,1030,511,0.31844660194174756,328
gemma_4b_judge,0.3145631067961165,0.3719862227324914,0.39174757281553396,324,quality_session_design,1030,547,0.15436893203883495,159
qwen_14b_judge,0.22815533980582525,0.281437125748503,0.32281553398058255,235,quality_session_design,1030,600,0.18932038834951456,195
qwen_7b_judge,0.312621359223301,0.4339622641509434,0.4524271844660194,322,quality_session_design,1030,420,0.2796116504854369,288
gemma_12b_judge,0.18640776699029127,0.30141287284144425,0.37718446601941746,192,readiness_alignment,1030,445,0.38155339805825245,393
gemma_4b_judge,0.41941747572815535,0.6476761619190404,0.595631067961165,432,readiness_alignment,1030,235,0.3524271844660194,363
qwen_14b_judge,0.17475728155339806,0.26277372262773724,0.3422330097087379,180,readiness_alignment,1030,505,0.33495145631067963,345
qwen_7b_judge,0.3213592233009709,0.44192256341789055,0.4577669902912621,331,readiness_alignment,1030,418,0.2728155339805825,281
gemma_12b_judge,0.2058252427184466,0.29041095890410956,0.35145631067961164,212,recovery_safety,1030,518,0.2912621359223301,300
gemma_4b_judge,0.5233009708737864,0.533135509396637,0.5325242718446602,539,recovery_safety,1030,472,0.018446601941747572,19
qwen_14b_judge,0.258252427184466,0.32839506172839505,0.3650485436893204,266,recovery_safety,1030,544,0.21359223300970873,220
qwen_7b_judge,0.1883495145631068,0.39591836734693875,0.45048543689320386,194,recovery_safety,1030,296,0.5242718446601942,540
gemma_12b_judge,0.5194174757281553,0.622093023255814,0.6019417475728155,535,training_specificity,1030,325,0.1650485436893204,170
gemma_4b_judge,0.4330097087378641,0.44027640671273444,0.4412621359223301,446,training_specificity,1030,567,0.01650485436893204,17
qwen_14b_judge,0.3786407766990291,0.46153846153846156,0.4684466019417476,390,training_specificity,1030,455,0.1796116504854369,185
qwen_7b_judge,0.3533980582524272,0.4126984126984127,0.42524271844660194,364,training_specificity,1030,518,0.1436893203883495,148
