judge_model_family,llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_wins,tie_rate,ties
gemma,0.36019417475728155,0.39114391143911437,0.39975728155339807,742,clarity_actionability,2060,1155,0.07912621359223301,163
qwen,0.12135922330097088,0.4317789291882556,0.4808252427184466,250,clarity_actionability,2060,329,0.7189320388349515,1481
gemma,0.29320388349514565,0.32025450689289503,0.3354368932038835,604,endurance_development,2060,1282,0.08446601941747572,174
qwen,0.24660194174757283,0.26765015806111697,0.2859223300970874,508,endurance_development,2060,1390,0.07864077669902912,162
gemma,0.26310679611650484,0.32948328267477206,0.3638349514563107,542,explanation_quality,2060,1103,0.20145631067961164,415
qwen,0.22330097087378642,0.3157172271791352,0.36966019417475726,460,explanation_quality,2060,997,0.29271844660194174,603
gemma,0.37087378640776697,0.38391959798994973,0.38786407766990294,764,load_progression,2060,1226,0.03398058252427184,70
qwen,0.3092233009708738,0.36441647597254007,0.3849514563106796,637,load_progression,2060,1111,0.15145631067961166,312
gemma,0.35776699029126213,0.4204221334854535,0.43228155339805824,737,plan_coherence,2060,1016,0.14902912621359224,307
qwen,0.18543689320388348,0.29227237949502677,0.36820388349514566,382,plan_coherence,2060,925,0.3655339805825243,753
gemma,0.25,0.3273998728544183,0.36820388349514566,515,quality_session_design,2060,1058,0.23640776699029126,487
qwen,0.2703883495145631,0.3532022828154724,0.387621359223301,557,quality_session_design,2060,1020,0.23446601941747572,483
gemma,0.3029126213592233,0.4785276073619632,0.48640776699029126,624,readiness_alignment,2060,680,0.36699029126213595,756
qwen,0.24805825242718446,0.3563458856345886,0.4,511,readiness_alignment,2060,923,0.30388349514563107,626
gemma,0.36456310679611653,0.43136128661688683,0.4419902912621359,751,recovery_safety,2060,990,0.15485436893203883,319
qwen,0.22330097087378642,0.35384615384615387,0.4077669902912621,460,recovery_safety,2060,840,0.36893203883495146,760
gemma,0.4762135922330097,0.5237586759209824,0.5216019417475728,981,training_specificity,2060,892,0.09077669902912622,187
qwen,0.36601941747572814,0.4365952518818761,0.44684466019417474,754,training_specificity,2060,973,0.1616504854368932,333
