llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_wins,source_model_family,tie_rate,ties
0.3014705882352941,0.47126436781609193,0.48161764705882354,205,clarity_actionability,680,230,gemma,0.3602941176470588,245
0.22877906976744186,0.3855952964233219,0.4321220930232558,787,clarity_actionability,3440,1254,qwen,0.40668604651162793,1399
0.375,0.40540540540540543,0.4125,255,endurance_development,680,374,gemma,0.075,51
0.2491279069767442,0.2716323296354992,0.2905523255813954,857,endurance_development,3440,2298,qwen,0.08284883720930232,285
0.3220588235294118,0.37823834196891193,0.3963235294117647,219,explanation_quality,680,360,gemma,0.14852941176470588,101
0.22761627906976745,0.3103448275862069,0.36090116279069767,783,explanation_quality,3440,1740,qwen,0.26656976744186045,917
0.37058823529411766,0.40384615384615385,0.4117647058823529,252,load_progression,680,372,gemma,0.08235294117647059,56
0.33401162790697675,0.36897880539499034,0.3813953488372093,1149,load_progression,3440,1965,qwen,0.09476744186046511,326
0.31029411764705883,0.40733590733590735,0.4294117647058823,211,plan_coherence,680,307,gemma,0.23823529411764705,162
0.26395348837209304,0.35719905586152634,0.3944767441860465,908,plan_coherence,3440,1634,qwen,0.261046511627907,898
0.35,0.4,0.4125,238,quality_session_design,680,357,gemma,0.125,85
0.2424418604651163,0.3264187866927593,0.37107558139534885,834,quality_session_design,3440,1721,qwen,0.25726744186046513,885
0.3058823529411765,0.41188118811881186,0.4345588235294118,208,readiness_alignment,680,297,gemma,0.25735294117647056,175
0.2694767441860465,0.41513658755038063,0.4449127906976744,927,readiness_alignment,3440,1306,qwen,0.35087209302325584,1207
0.3352941176470588,0.43761996161228406,0.4522058823529412,228,recovery_safety,680,293,gemma,0.2338235294117647,159
0.28575581395348837,0.3900793650793651,0.4194767441860465,983,recovery_safety,3440,1537,qwen,0.26744186046511625,920
0.5073529411764706,0.5711920529801324,0.5632352941176471,345,training_specificity,680,259,gemma,0.11176470588235295,76
0.40406976744186046,0.46395193591455275,0.4686046511627907,1390,training_specificity,3440,1606,qwen,0.12906976744186047,444
