category,leakage_split,marker,n,rate
consistent_tie,clean,clarity_actionability,533,0.2587378640776699
other_inconsistent,clean,clarity_actionability,578,0.28058252427184466
position_consistent_plan_a,clean,clarity_actionability,784,0.38058252427184464
source_consistent_programmatic,clean,clarity_actionability,165,0.08009708737864078
consistent_tie,clean,endurance_development,31,0.015048543689320388
other_inconsistent,clean,endurance_development,274,0.13300970873786408
position_consistent_plan_a,clean,endurance_development,384,0.18640776699029127
position_consistent_plan_b,clean,endurance_development,193,0.09368932038834951
source_consistent_llm,clean,endurance_development,232,0.11262135922330097
source_consistent_programmatic,clean,endurance_development,946,0.45922330097087377
consistent_tie,clean,explanation_quality,153,0.07427184466019418
other_inconsistent,clean,explanation_quality,712,0.34563106796116505
position_consistent_plan_a,clean,explanation_quality,220,0.10679611650485436
position_consistent_plan_b,clean,explanation_quality,352,0.170873786407767
source_consistent_llm,clean,explanation_quality,106,0.05145631067961165
source_consistent_programmatic,clean,explanation_quality,517,0.25097087378640776
consistent_tie,clean,load_progression,44,0.021359223300970873
other_inconsistent,clean,load_progression,294,0.14271844660194175
position_consistent_plan_a,clean,load_progression,575,0.279126213592233
position_consistent_plan_b,clean,load_progression,303,0.1470873786407767
source_consistent_llm,clean,load_progression,205,0.09951456310679611
source_consistent_programmatic,clean,load_progression,639,0.31019417475728156
consistent_tie,clean,plan_coherence,155,0.07524271844660194
other_inconsistent,clean,plan_coherence,750,0.3640776699029126
position_consistent_plan_a,clean,plan_coherence,886,0.4300970873786408
source_consistent_llm,clean,plan_coherence,11,0.005339805825242718
source_consistent_programmatic,clean,plan_coherence,258,0.12524271844660195
consistent_tie,clean,quality_session_design,134,0.06504854368932039
other_inconsistent,clean,quality_session_design,702,0.3407766990291262
position_consistent_plan_a,clean,quality_session_design,231,0.11213592233009709
position_consistent_plan_b,clean,quality_session_design,212,0.1029126213592233
source_consistent_llm,clean,quality_session_design,209,0.10145631067961165
source_consistent_programmatic,clean,quality_session_design,572,0.27766990291262134
consistent_tie,clean,readiness_alignment,266,0.129126213592233
other_inconsistent,clean,readiness_alignment,850,0.41262135922330095
position_consistent_plan_a,clean,readiness_alignment,478,0.2320388349514563
position_consistent_plan_b,clean,readiness_alignment,80,0.038834951456310676
source_consistent_llm,clean,readiness_alignment,140,0.06796116504854369
source_consistent_programmatic,clean,readiness_alignment,246,0.11941747572815534
consistent_tie,clean,recovery_safety,188,0.0912621359223301
other_inconsistent,clean,recovery_safety,703,0.3412621359223301
position_consistent_plan_a,clean,recovery_safety,829,0.40242718446601944
position_consistent_plan_b,clean,recovery_safety,14,0.006796116504854369
source_consistent_llm,clean,recovery_safety,75,0.03640776699029126
source_consistent_programmatic,clean,recovery_safety,251,0.12184466019417475
consistent_tie,clean,training_specificity,17,0.00825242718446602
other_inconsistent,clean,training_specificity,486,0.23592233009708738
position_consistent_plan_a,clean,training_specificity,152,0.07378640776699029
position_consistent_plan_b,clean,training_specificity,663,0.32184466019417474
source_consistent_llm,clean,training_specificity,341,0.16553398058252428
source_consistent_programmatic,clean,training_specificity,401,0.19466019417475727
consistent_tie,flagged,clarity_actionability,417,0.14183673469387756
other_inconsistent,flagged,clarity_actionability,850,0.2891156462585034
position_consistent_plan_a,flagged,clarity_actionability,1368,0.46530612244897956
source_consistent_llm,flagged,clarity_actionability,24,0.00816326530612245
source_consistent_programmatic,flagged,clarity_actionability,281,0.09557823129251701
consistent_tie,flagged,endurance_development,54,0.018367346938775512
other_inconsistent,flagged,endurance_development,271,0.09217687074829932
position_consistent_plan_a,flagged,endurance_development,721,0.24523809523809523
position_consistent_plan_b,flagged,endurance_development,341,0.11598639455782313
source_consistent_llm,flagged,endurance_development,366,0.12448979591836734
source_consistent_programmatic,flagged,endurance_development,1187,0.40374149659863945
consistent_tie,flagged,explanation_quality,144,0.04897959183673469
