judge_model_family,llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_win_rate_all,programmatic_wins,source_model_family,tie_rate,ties
gemma,0.40301724137931033,0.4054640069384215,0.4060344827586207,935,clarity_actionability,2320,0.590948275862069,1371,gemma,0.00603448275862069,14
gemma,0.3753731343283582,0.4012764260071799,0.4076492537313433,1006,clarity_actionability,2680,0.5600746268656717,1501,qwen,0.06455223880597015,173
qwen,0.1810344827586207,0.425531914893617,0.4683189655172414,420,clarity_actionability,2320,0.24439655172413793,567,gemma,0.5745689655172413,1333
qwen,0.13022388059701492,0.40022935779816515,0.46753731343283583,349,clarity_actionability,2680,0.1951492537313433,523,qwen,0.6746268656716418,1808
gemma,0.33793103448275863,0.3619575253924284,0.3711206896551724,784,endurance_development,2320,0.5956896551724138,1382,gemma,0.06637931034482758,154
gemma,0.30074626865671644,0.3257881972514147,0.33917910447761196,806,endurance_development,2680,0.6223880597014926,1668,qwen,0.07686567164179105,206
qwen,0.30344827586206896,0.327899394503959,0.34073275862068964,704,endurance_development,2320,0.6219827586206896,1443,gemma,0.07456896551724138,173
qwen,0.28059701492537314,0.3010408326661329,0.31455223880597016,752,endurance_development,2680,0.6514925373134328,1746,qwen,0.06791044776119402,182
gemma,0.24698275862068966,0.28240512567767373,0.30969827586206894,573,explanation_quality,2320,0.6275862068965518,1456,gemma,0.1254310344827586,291
gemma,0.2537313432835821,0.3145235892691952,0.3503731343283582,680,explanation_quality,2680,0.5529850746268656,1482,qwen,0.19328358208955224,518
qwen,0.27629310344827585,0.3442534908700322,0.375,641,explanation_quality,2320,0.5262931034482758,1221,gemma,0.19741379310344828,458
qwen,0.25522388059701495,0.3507692307692308,0.3914179104477612,684,explanation_quality,2680,0.47238805970149256,1266,qwen,0.27238805970149255,730
gemma,0.30689655172413793,0.32290249433106577,0.3316810344827586,712,load_progression,2320,0.6435344827586207,1493,gemma,0.04956896551724138,115
gemma,0.3384328358208955,0.3481765834932822,0.35242537313432837,907,load_progression,2680,0.6335820895522388,1698,qwen,0.027985074626865673,75
qwen,0.33232758620689656,0.3814943097476497,0.39676724137931035,771,load_progression,2320,0.5387931034482759,1250,gemma,0.12887931034482758,299
qwen,0.30895522388059704,0.35475578406169667,0.37350746268656715,828,load_progression,2680,0.5619402985074626,1506,qwen,0.1291044776119403,346
gemma,0.32241379310344825,0.35551330798479086,0.3689655172413793,748,plan_coherence,2320,0.5844827586206897,1356,gemma,0.09310344827586207,216
gemma,0.3373134328358209,0.38798283261802574,0.40261194029850744,904,plan_coherence,2680,0.5320895522388059,1426,qwen,0.13059701492537312,350
qwen,0.2633620689655172,0.366087477531456,0.4036637931034483,611,plan_coherence,2320,0.4560344827586207,1058,gemma,0.2806034482758621,651
qwen,0.21343283582089553,0.3227990970654628,0.38283582089552237,572,plan_coherence,2680,0.44776119402985076,1200,qwen,0.33880597014925373,908
gemma,0.2478448275862069,0.27033380347907854,0.28943965517241377,575,quality_session_design,2320,0.6689655172413793,1552,gemma,0.08318965517241379,193
gemma,0.25410447761194027,0.3185219831618335,0.35522388059701493,681,quality_session_design,2680,0.5436567164179105,1457,qwen,0.20223880597014926,542
qwen,0.30086206896551726,0.35557819663779927,0.37780172413793106,698,quality_session_design,2320,0.5452586206896551,1265,gemma,0.15387931034482757,357
qwen,0.3093283582089552,0.3958930276981853,0.41865671641791047,829,quality_session_design,2680,0.47201492537313433,1265,qwen,0.21865671641791046,586
gemma,0.28663793103448276,0.41125541125541126,0.4381465517241379,665,readiness_alignment,2320,0.4103448275862069,952,gemma,0.30301724137931035,703
gemma,0.283955223880597,0.4237193763919822,0.4488805970149254,761,readiness_alignment,2680,0.38619402985074625,1035,qwen,0.32985074626865674,884
qwen,0.3267241379310345,0.41240478781284007,0.43060344827586206,758,readiness_alignment,2320,0.46551724137931033,1080,gemma,0.20775862068965517,482
qwen,0.2533582089552239,0.3507231404958678,0.3921641791044776,679,readiness_alignment,2680,0.4690298507462687,1257,qwen,0.27761194029850744,744
gemma,0.37198275862068964,0.40083604273107293,0.4079741379310345,863,recovery_safety,2320,0.5560344827586207,1290,gemma,0.07198275862068966,167
gemma,0.3574626865671642,0.40975192472198463,0.4212686567164179,958,recovery_safety,2680,0.5149253731343284,1380,qwen,0.12761194029850748,342
qwen,0.2836206896551724,0.3995142683667274,0.42866379310344827,658,recovery_safety,2320,0.42629310344827587,989,gemma,0.29008620689655173,673
qwen,0.23283582089552238,0.3458980044345898,0.3962686567164179,624,recovery_safety,2680,0.44029850746268656,1180,qwen,0.32686567164179103,876
gemma,0.5159482758620689,0.5470749542961609,0.5443965517241379,1197,training_specificity,2320,0.4271551724137931,991,gemma,0.056896551724137934,132
gemma,0.46305970149253733,0.5090237899917965,0.5082089552238805,1241,training_specificity,2680,0.44664179104477614,1197,qwen,0.09029850746268657,242
qwen,0.3896551724137931,0.44466305951795376,0.4515086206896552,904,training_specificity,2320,0.4866379310344828,1129,gemma,0.12370689655172414,287
qwen,0.38283582089552237,0.4386489952971355,0.446455223880597,1026,training_specificity,2680,0.4899253731343284,1313,qwen,0.12723880597014925,341
