judge_model_family,llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_win_rate_all,programmatic_wins,tie_rate,ties
gemma,0.3882,0.4032827758154997,0.4069,1941,clarity_actionability,5000,0.5744,2872,0.0374,187
qwen,0.1538,0.41366325981710594,0.4679,769,clarity_actionability,5000,0.218,1090,0.6282,3141
gemma,0.318,0.3426724137931034,0.354,1590,endurance_development,5000,0.61,3050,0.072,360
qwen,0.2912,0.3134553283100108,0.3267,1456,endurance_development,5000,0.6378,3189,0.071,355
gemma,0.2506,0.2989739918873777,0.3315,1253,explanation_quality,5000,0.5876,2938,0.1618,809
qwen,0.265,0.3475865687303253,0.3838,1325,explanation_quality,5000,0.4974,2487,0.2376,1188
gemma,0.3238,0.3365904365904366,0.3428,1619,load_progression,5000,0.6382,3191,0.038,190
qwen,0.3198,0.36716417910447763,0.3843,1599,load_progression,5000,0.5512,2756,0.129,645
gemma,0.3304,0.37257555254848895,0.387,1652,plan_coherence,5000,0.5564,2782,0.1132,566
qwen,0.2366,0.3437954083115373,0.3925,1183,plan_coherence,5000,0.4516,2258,0.3118,1559
gemma,0.2512,0.2944900351699883,0.3247,1256,quality_session_design,5000,0.6018,3009,0.147,735
qwen,0.3054,0.37638649248212963,0.3997,1527,quality_session_design,5000,0.506,2530,0.1886,943
gemma,0.2852,0.41781423967184295,0.4439,1426,readiness_alignment,5000,0.3974,1987,0.3174,1587
qwen,0.2874,0.38076311605723373,0.41,1437,readiness_alignment,5000,0.4674,2337,0.2452,1226
gemma,0.3642,0.40547762191048764,0.4151,1821,recovery_safety,5000,0.534,2670,0.1018,509
qwen,0.2564,0.37148652564474066,0.4113,1282,recovery_safety,5000,0.4338,2169,0.3098,1549
gemma,0.4876,0.5270211846087333,0.525,2438,training_specificity,5000,0.4376,2188,0.0748,374
qwen,0.386,0.4414455626715462,0.4488,1930,training_specificity,5000,0.4884,2442,0.1256,628
