judge,llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_win_rate_all,programmatic_wins,tie_rate,ties
gemma_12b_judge,0.2772,0.2989646246764452,0.3136,693,clarity_actionability,2500,0.65,1625,0.0728,182
gemma_4b_judge,0.4992,0.5002004008016032,0.5002,1248,clarity_actionability,2500,0.4988,1247,0.002,5
qwen_14b_judge,0.0784,0.33220338983050846,0.4604,196,clarity_actionability,2500,0.1576,394,0.764,1910
qwen_7b_judge,0.2292,0.4515366430260047,0.4754,573,clarity_actionability,2500,0.2784,696,0.4924,1231
gemma_12b_judge,0.342,0.39953271028037385,0.414,855,endurance_development,2500,0.514,1285,0.144,360
gemma_4b_judge,0.294,0.294,0.294,735,endurance_development,2500,0.706,1765,0.0,0
qwen_14b_judge,0.2384,0.2596949891067538,0.2794,596,endurance_development,2500,0.6796,1699,0.082,205
qwen_7b_judge,0.344,0.3659574468085106,0.374,860,endurance_development,2500,0.596,1490,0.06,150
gemma_12b_judge,0.1836,0.19037743674823723,0.2014,459,explanation_quality,2500,0.7808,1952,0.0356,89
gemma_4b_judge,0.3176,0.4460674157303371,0.4616,794,explanation_quality,2500,0.3944,986,0.288,720
qwen_14b_judge,0.1392,0.2038664323374341,0.2978,348,explanation_quality,2500,0.5436,1359,0.3172,793
qwen_7b_judge,0.3908,0.4641330166270784,0.4698,977,explanation_quality,2500,0.4512,1128,0.158,395
gemma_12b_judge,0.1956,0.1984577922077922,0.2028,489,load_progression,2500,0.79,1975,0.0144,36
gemma_4b_judge,0.452,0.4816709292412617,0.4828,1130,load_progression,2500,0.4864,1216,0.0616,154
qwen_14b_judge,0.2324,0.2689814814814815,0.3004,581,load_progression,2500,0.6316,1579,0.136,340
qwen_7b_judge,0.4072,0.46378132118451026,0.4682,1018,load_progression,2500,0.4708,1177,0.122,305
gemma_12b_judge,0.2264,0.2693955259400286,0.3062,566,plan_coherence,2500,0.614,1535,0.1596,399
gemma_4b_judge,0.4344,0.4654950707243892,0.4678,1086,plan_coherence,2500,0.4988,1247,0.0668,167
qwen_14b_judge,0.2372,0.28144280968201235,0.3158,593,plan_coherence,2500,0.6056,1514,0.1572,393
qwen_7b_judge,0.236,0.44227886056971516,0.4692,590,plan_coherence,2500,0.2976,744,0.4664,1166
gemma_12b_judge,0.2048,0.25523429710867396,0.3036,512,quality_session_design,2500,0.5976,1494,0.1976,494
gemma_4b_judge,0.2976,0.3293492695883134,0.3458,744,quality_session_design,2500,0.606,1515,0.0964,241
qwen_14b_judge,0.2276,0.27634774162214665,0.3158,569,quality_session_design,2500,0.596,1490,0.1764,441
qwen_7b_judge,0.3832,0.4794794794794795,0.4836,958,quality_session_design,2500,0.416,1040,0.2008,502
gemma_12b_judge,0.1612,0.23174238067855088,0.3134,403,readiness_alignment,2500,0.5344,1336,0.3044,761
gemma_4b_judge,0.4092,0.6111111111111112,0.5744,1023,readiness_alignment,2500,0.2604,651,0.3304,826
qwen_14b_judge,0.2136,0.3037542662116041,0.362,534,readiness_alignment,2500,0.4896,1224,0.2968,742
qwen_7b_judge,0.3612,0.4479166666666667,0.458,903,readiness_alignment,2500,0.4452,1113,0.1936,484
gemma_12b_judge,0.2208,0.2713864306784661,0.314,552,recovery_safety,2500,0.5928,1482,0.1864,466
gemma_4b_judge,0.5076,0.5164835164835165,0.5162,1269,recovery_safety,2500,0.4752,1188,0.0172,43
qwen_14b_judge,0.2764,0.344810379241517,0.3756,691,recovery_safety,2500,0.5252,1313,0.1984,496
qwen_7b_judge,0.2364,0.40843123704215617,0.447,591,recovery_safety,2500,0.3424,856,0.4212,1053
gemma_12b_judge,0.5656,0.6492194674012856,0.63,1414,training_specificity,2500,0.3056,764,0.1288,322
gemma_4b_judge,0.4096,0.41830065359477125,0.42,1024,training_specificity,2500,0.5696,1424,0.0208,52
qwen_14b_judge,0.366,0.4386385426653883,0.4488,915,training_specificity,2500,0.4684,1171,0.1656,414
qwen_7b_judge,0.406,0.4440069991251094,0.4488,1015,training_specificity,2500,0.5084,1271,0.0856,214
