llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,order,programmatic_win_rate_all,programmatic_wins,tie_rate,ties
0.5334,0.8539865513928915,0.7211,2667,clarity_actionability,5000,AB,0.0912,456,0.3754,1877
0.0086,0.012116089039165962,0.1537,43,clarity_actionability,5000,BA,0.7012,3506,0.2902,1451
0.3776,0.39822822189411516,0.4035,1888,endurance_development,5000,AB,0.5706,2853,0.0518,259
0.2316,0.2548415492957746,0.2772,1158,endurance_development,5000,BA,0.6772,3386,0.0912,456
0.1842,0.24015645371577574,0.3007,921,explanation_quality,5000,AB,0.5828,2914,0.233,1165
0.3314,0.397552783109405,0.4146,1657,explanation_quality,5000,BA,0.5022,2511,0.1664,832
0.4302,0.4662909169737698,0.4689,2151,load_progression,5000,AB,0.4924,2462,0.0774,387
0.2134,0.234402460456942,0.2582,1067,load_progression,5000,BA,0.697,3485,0.0896,448
0.556,0.7616438356164383,0.691,2780,plan_coherence,5000,AB,0.174,870,0.27,1350
0.011,0.01301775147928994,0.0885,55,plan_coherence,5000,BA,0.834,4170,0.155,775
0.283,0.3403897041135434,0.3673,1415,quality_session_design,5000,AB,0.5484,2742,0.1686,843
0.2736,0.3284513805522209,0.3571,1368,quality_session_design,5000,BA,0.5594,2797,0.167,835
0.396,0.5954887218045113,0.5635,1980,readiness_alignment,5000,AB,0.269,1345,0.335,1675
0.1766,0.2286380113930606,0.2904,883,readiness_alignment,5000,BA,0.5958,2979,0.2276,1138
0.571,0.7603195739014648,0.6955,2855,recovery_safety,5000,AB,0.18,900,0.249,1245
0.0496,0.059230952949605925,0.1309,248,recovery_safety,5000,BA,0.7878,3939,0.1626,813
0.2988,0.3349775784753363,0.3528,1494,training_specificity,5000,AB,0.5932,2966,0.108,540
0.5748,0.6333186425738211,0.621,2874,training_specificity,5000,BA,0.3328,1664,0.0924,462
