category,judge,marker,n,rate
consistent_tie,gemma_12b_judge,clarity_actionability,22,0.0176
other_inconsistent,gemma_12b_judge,clarity_actionability,138,0.1104
position_consistent_plan_a,gemma_12b_judge,clarity_actionability,675,0.54
source_consistent_llm,gemma_12b_judge,clarity_actionability,5,0.004
source_consistent_programmatic,gemma_12b_judge,clarity_actionability,410,0.328
other_inconsistent,gemma_4b_judge,clarity_actionability,5,0.004
position_consistent_plan_a,gemma_4b_judge,clarity_actionability,1220,0.976
source_consistent_llm,gemma_4b_judge,clarity_actionability,14,0.0112
source_consistent_programmatic,gemma_4b_judge,clarity_actionability,11,0.0088
consistent_tie,qwen_14b_judge,clarity_actionability,740,0.592
other_inconsistent,qwen_14b_judge,clarity_actionability,430,0.344
position_consistent_plan_a,qwen_14b_judge,clarity_actionability,50,0.04
source_consistent_llm,qwen_14b_judge,clarity_actionability,5,0.004
source_consistent_programmatic,qwen_14b_judge,clarity_actionability,25,0.02
consistent_tie,qwen_7b_judge,clarity_actionability,188,0.1504
other_inconsistent,qwen_7b_judge,clarity_actionability,855,0.684
position_consistent_plan_a,qwen_7b_judge,clarity_actionability,207,0.1656
consistent_tie,gemma_12b_judge,endurance_development,49,0.0392
other_inconsistent,gemma_12b_judge,endurance_development,262,0.2096
position_consistent_plan_a,gemma_12b_judge,endurance_development,376,0.3008
position_consistent_plan_b,gemma_12b_judge,endurance_development,6,0.0048
source_consistent_llm,gemma_12b_judge,endurance_development,169,0.1352
source_consistent_programmatic,gemma_12b_judge,endurance_development,388,0.3104
position_consistent_plan_a,gemma_4b_judge,endurance_development,408,0.3264
position_consistent_plan_b,gemma_4b_judge,endurance_development,73,0.0584
source_consistent_llm,gemma_4b_judge,endurance_development,127,0.1016
source_consistent_programmatic,gemma_4b_judge,endurance_development,642,0.5136
consistent_tie,qwen_14b_judge,endurance_development,30,0.024
other_inconsistent,qwen_14b_judge,endurance_development,145,0.116
position_consistent_plan_a,qwen_14b_judge,endurance_development,271,0.2168
position_consistent_plan_b,qwen_14b_judge,endurance_development,5,0.004
source_consistent_llm,qwen_14b_judge,endurance_development,135,0.108
source_consistent_programmatic,qwen_14b_judge,endurance_development,664,0.5312
consistent_tie,qwen_7b_judge,endurance_development,6,0.0048
other_inconsistent,qwen_7b_judge,endurance_development,138,0.1104
position_consistent_plan_a,qwen_7b_judge,endurance_development,50,0.04
position_consistent_plan_b,qwen_7b_judge,endurance_development,450,0.36
source_consistent_llm,qwen_7b_judge,endurance_development,167,0.1336
source_consistent_programmatic,qwen_7b_judge,endurance_development,439,0.3512
other_inconsistent,gemma_12b_judge,explanation_quality,89,0.0712
position_consistent_plan_a,gemma_12b_judge,explanation_quality,379,0.3032
position_consistent_plan_b,gemma_12b_judge,explanation_quality,5,0.004
source_consistent_llm,gemma_12b_judge,explanation_quality,35,0.028
source_consistent_programmatic,gemma_12b_judge,explanation_quality,742,0.5936
consistent_tie,gemma_4b_judge,explanation_quality,132,0.1056
other_inconsistent,gemma_4b_judge,explanation_quality,456,0.3648
position_consistent_plan_a,gemma_4b_judge,explanation_quality,30,0.024
position_consistent_plan_b,gemma_4b_judge,explanation_quality,431,0.3448
source_consistent_llm,gemma_4b_judge,explanation_quality,71,0.0568
source_consistent_programmatic,gemma_4b_judge,explanation_quality,130,0.104
consistent_tie,qwen_14b_judge,explanation_quality,133,0.1064
other_inconsistent,qwen_14b_judge,explanation_quality,527,0.4216
position_consistent_plan_a,qwen_14b_judge,explanation_quality,155,0.124
position_consistent_plan_b,qwen_14b_judge,explanation_quality,10,0.008
source_consistent_llm,qwen_14b_judge,explanation_quality,40,0.032
source_consistent_programmatic,qwen_14b_judge,explanation_quality,385,0.308
consistent_tie,qwen_7b_judge,explanation_quality,32,0.0256
other_inconsistent,qwen_7b_judge,explanation_quality,331,0.2648
position_consistent_plan_a,qwen_7b_judge,explanation_quality,1,0.0008
position_consistent_plan_b,qwen_7b_judge,explanation_quality,677,0.5416
source_consistent_llm,qwen_7b_judge,explanation_quality,83,0.0664
source_consistent_programmatic,qwen_7b_judge,explanation_quality,126,0.1008
consistent_tie,gemma_12b_judge,load_progression,5,0.004
other_inconsistent,gemma_12b_judge,load_progression,26,0.0208
position_consistent_plan_a,gemma_12b_judge,load_progression,311,0.2488
position_consistent_plan_b,gemma_12b_judge,load_progression,20,0.016
source_consistent_llm,gemma_12b_judge,load_progression,79,0.0632
source_consistent_programmatic,gemma_12b_judge,load_progression,809,0.6472
other_inconsistent,gemma_4b_judge,load_progression,154,0.1232
position_consistent_plan_a,gemma_4b_judge,load_progression,66,0.0528
position_consistent_plan_b,gemma_4b_judge,load_progression,630,0.504
source_consistent_llm,gemma_4b_judge,load_progression,198,0.1584
source_consistent_programmatic,gemma_4b_judge,load_progression,202,0.1616
consistent_tie,qwen_14b_judge,load_progression,30,0.024
other_inconsistent,qwen_14b_judge,load_progression,280,0.224
position_consistent_plan_a,qwen_14b_judge,load_progression,431,0.3448
position_consistent_plan_b,qwen_14b_judge,load_progression,5,0.004
source_consistent_llm,qwen_14b_judge,load_progression,35,0.028
source_consistent_programmatic,qwen_14b_judge,load_progression,469,0.3752
consistent_tie,qwen_7b_judge,load_progression,40,0.032
other_inconsistent,qwen_7b_judge,load_progression,225,0.18
position_consistent_plan_a,qwen_7b_judge,load_progression,746,0.5968
position_consistent_plan_b,qwen_7b_judge,load_progression,13,0.0104
source_consistent_llm,qwen_7b_judge,load_progression,67,0.0536
source_consistent_programmatic,qwen_7b_judge,load_progression,159,0.1272
consistent_tie,gemma_12b_judge,plan_coherence,35,0.028
other_inconsistent,gemma_12b_judge,plan_coherence,329,0.2632
position_consistent_plan_a,gemma_12b_judge,plan_coherence,519,0.4152
source_consistent_llm,gemma_12b_judge,plan_coherence,11,0.0088
source_consistent_programmatic,gemma_12b_judge,plan_coherence,356,0.2848
other_inconsistent,gemma_4b_judge,plan_coherence,167,0.1336
position_consistent_plan_a,gemma_4b_judge,plan_coherence,1026,0.8208
source_consistent_llm,gemma_4b_judge,plan_coherence,6,0.0048
source_consistent_programmatic,gemma_4b_judge,plan_coherence,51,0.0408
consistent_tie,qwen_14b_judge,plan_coherence,35,0.028
other_inconsistent,qwen_14b_judge,plan_coherence,323,0.2584
position_consistent_plan_a,qwen_14b_judge,plan_coherence,478,0.3824
source_consistent_llm,qwen_14b_judge,plan_coherence,15,0.012
source_consistent_programmatic,qwen_14b_judge,plan_coherence,399,0.3192
consistent_tie,qwen_7b_judge,plan_coherence,167,0.1336
other_inconsistent,qwen_7b_judge,plan_coherence,832,0.6656
position_consistent_plan_a,qwen_7b_judge,plan_coherence,237,0.1896
source_consistent_llm,qwen_7b_judge,plan_coherence,5,0.004
source_consistent_programmatic,qwen_7b_judge,plan_coherence,9,0.0072
consistent_tie,gemma_12b_judge,quality_session_design,110,0.088
other_inconsistent,gemma_12b_judge,quality_session_design,274,0.2192
position_consistent_plan_a,gemma_12b_judge,quality_session_design,113,0.0904
position_consistent_plan_b,gemma_12b_judge,quality_session_design,26,0.0208
source_consistent_llm,gemma_12b_judge,quality_session_design,136,0.1088
source_consistent_programmatic,gemma_12b_judge,quality_session_design,591,0.4728
consistent_tie,gemma_4b_judge,quality_session_design,9,0.0072
other_inconsistent,gemma_4b_judge,quality_session_design,223,0.1784
position_consistent_plan_a,gemma_4b_judge,quality_session_design,166,0.1328
position_consistent_plan_b,gemma_4b_judge,quality_session_design,180,0.144
source_consistent_llm,gemma_4b_judge,quality_session_design,163,0.1304
source_consistent_programmatic,gemma_4b_judge,quality_session_design,509,0.4072
consistent_tie,qwen_14b_judge,quality_session_design,46,0.0368
other_inconsistent,qwen_14b_judge,quality_session_design,349,0.2792
position_consistent_plan_a,qwen_14b_judge,quality_session_design,251,0.2008
position_consistent_plan_b,qwen_14b_judge,quality_session_design,4,0.0032
source_consistent_llm,qwen_14b_judge,quality_session_design,110,0.088
source_consistent_programmatic,qwen_14b_judge,quality_session_design,490,0.392
consistent_tie,qwen_7b_judge,quality_session_design,53,0.0424
other_inconsistent,qwen_7b_judge,quality_session_design,396,0.3168
position_consistent_plan_a,qwen_7b_judge,quality_session_design,74,0.0592
position_consistent_plan_b,qwen_7b_judge,quality_session_design,406,0.3248
source_consistent_llm,qwen_7b_judge,quality_session_design,156,0.1248
source_consistent_programmatic,qwen_7b_judge,quality_session_design,165,0.132
consistent_tie,gemma_12b_judge,readiness_alignment,159,0.1272
other_inconsistent,gemma_12b_judge,readiness_alignment,443,0.3544
position_consistent_plan_a,gemma_12b_judge,readiness_alignment,262,0.2096
position_consistent_plan_b,gemma_12b_judge,readiness_alignment,23,0.0184
source_consistent_llm,gemma_12b_judge,readiness_alignment,6,0.0048
source_consistent_programmatic,gemma_12b_judge,readiness_alignment,357,0.2856
consistent_tie,gemma_4b_judge,readiness_alignment,164,0.1312
other_inconsistent,gemma_4b_judge,readiness_alignment,498,0.3984
position_consistent_plan_a,gemma_4b_judge,readiness_alignment,72,0.0576
position_consistent_plan_b,gemma_4b_judge,readiness_alignment,211,0.1688
source_consistent_llm,gemma_4b_judge,readiness_alignment,216,0.1728
source_consistent_programmatic,gemma_4b_judge,readiness_alignment,89,0.0712
consistent_tie,qwen_14b_judge,readiness_alignment,107,0.0856
other_inconsistent,qwen_14b_judge,readiness_alignment,528,0.4224
position_consistent_plan_a,qwen_14b_judge,readiness_alignment,395,0.316
source_consistent_llm,qwen_14b_judge,readiness_alignment,20,0.016
source_consistent_programmatic,qwen_14b_judge,readiness_alignment,200,0.16
consistent_tie,qwen_7b_judge,readiness_alignment,75,0.06
other_inconsistent,qwen_7b_judge,readiness_alignment,334,0.2672
position_consistent_plan_a,qwen_7b_judge,readiness_alignment,549,0.4392
position_consistent_plan_b,qwen_7b_judge,readiness_alignment,62,0.0496
source_consistent_llm,qwen_7b_judge,readiness_alignment,93,0.0744
source_consistent_programmatic,qwen_7b_judge,readiness_alignment,137,0.1096
consistent_tie,gemma_12b_judge,recovery_safety,89,0.0712
other_inconsistent,gemma_12b_judge,recovery_safety,288,0.2304
position_consistent_plan_a,gemma_12b_judge,recovery_safety,460,0.368
position_consistent_plan_b,gemma_12b_judge,recovery_safety,18,0.0144
source_consistent_llm,gemma_12b_judge,recovery_safety,10,0.008
source_consistent_programmatic,gemma_12b_judge,recovery_safety,385,0.308
other_inconsistent,gemma_4b_judge,recovery_safety,43,0.0344
position_consistent_plan_a,gemma_4b_judge,recovery_safety,1165,0.932
source_consistent_llm,gemma_4b_judge,recovery_safety,41,0.0328
source_consistent_programmatic,gemma_4b_judge,recovery_safety,1,0.0008
consistent_tie,qwen_14b_judge,recovery_safety,71,0.0568
other_inconsistent,qwen_14b_judge,recovery_safety,354,0.2832
position_consistent_plan_a,qwen_14b_judge,recovery_safety,466,0.3728
source_consistent_llm,qwen_14b_judge,recovery_safety,69,0.0552
source_consistent_programmatic,qwen_14b_judge,recovery_safety,290,0.232
consistent_tie,qwen_7b_judge,recovery_safety,142,0.1136
other_inconsistent,qwen_7b_judge,recovery_safety,769,0.6152
position_consistent_plan_a,qwen_7b_judge,recovery_safety,214,0.1712
position_consistent_plan_b,qwen_7b_judge,recovery_safety,9,0.0072
source_consistent_llm,qwen_7b_judge,recovery_safety,24,0.0192
source_consistent_programmatic,qwen_7b_judge,recovery_safety,92,0.0736
consistent_tie,gemma_12b_judge,training_specificity,10,0.008
other_inconsistent,gemma_12b_judge,training_specificity,302,0.2416
position_consistent_plan_a,gemma_12b_judge,training_specificity,84,0.0672
position_consistent_plan_b,gemma_12b_judge,training_specificity,155,0.124
source_consistent_llm,gemma_12b_judge,training_specificity,472,0.3776
source_consistent_programmatic,gemma_12b_judge,training_specificity,227,0.1816
other_inconsistent,gemma_4b_judge,training_specificity,52,0.0416
position_consistent_plan_a,gemma_4b_judge,training_specificity,241,0.1928
position_consistent_plan_b,gemma_4b_judge,training_specificity,319,0.2552
source_consistent_llm,gemma_4b_judge,training_specificity,224,0.1792
source_consistent_programmatic,gemma_4b_judge,training_specificity,414,0.3312
consistent_tie,qwen_14b_judge,training_specificity,45,0.036
other_inconsistent,qwen_14b_judge,training_specificity,324,0.2592
position_consistent_plan_a,qwen_14b_judge,training_specificity,85,0.068
position_consistent_plan_b,qwen_14b_judge,training_specificity,151,0.1208
source_consistent_llm,qwen_14b_judge,training_specificity,255,0.204
source_consistent_programmatic,qwen_14b_judge,training_specificity,390,0.312
consistent_tie,qwen_7b_judge,training_specificity,1,0.0008
other_inconsistent,qwen_7b_judge,training_specificity,212,0.1696
position_consistent_plan_b,qwen_7b_judge,training_specificity,990,0.792
source_consistent_programmatic,qwen_7b_judge,training_specificity,47,0.0376
