category,marker,n,rate
consistent_tie,clarity_actionability,950,0.19
other_inconsistent,clarity_actionability,1428,0.2856
position_consistent_plan_a,clarity_actionability,2152,0.4304
source_consistent_llm,clarity_actionability,24,0.0048
source_consistent_programmatic,clarity_actionability,446,0.0892
consistent_tie,endurance_development,85,0.017
other_inconsistent,endurance_development,545,0.109
position_consistent_plan_a,endurance_development,1105,0.221
position_consistent_plan_b,endurance_development,534,0.1068
source_consistent_llm,endurance_development,598,0.1196
source_consistent_programmatic,endurance_development,2133,0.4266
consistent_tie,explanation_quality,297,0.0594
other_inconsistent,explanation_quality,1403,0.2806
position_consistent_plan_a,explanation_quality,565,0.113
position_consistent_plan_b,explanation_quality,1123,0.2246
source_consistent_llm,explanation_quality,229,0.0458
source_consistent_programmatic,explanation_quality,1383,0.2766
consistent_tie,load_progression,75,0.015
other_inconsistent,load_progression,685,0.137
position_consistent_plan_a,load_progression,1554,0.3108
position_consistent_plan_b,load_progression,668,0.1336
source_consistent_llm,load_progression,379,0.0758
source_consistent_programmatic,load_progression,1639,0.3278
consistent_tie,plan_coherence,237,0.0474
other_inconsistent,plan_coherence,1651,0.3302
position_consistent_plan_a,plan_coherence,2260,0.452
source_consistent_llm,plan_coherence,37,0.0074
source_consistent_programmatic,plan_coherence,815,0.163
consistent_tie,quality_session_design,218,0.0436
other_inconsistent,quality_session_design,1242,0.2484
position_consistent_plan_a,quality_session_design,604,0.1208
position_consistent_plan_b,quality_session_design,616,0.1232
source_consistent_llm,quality_session_design,565,0.113
source_consistent_programmatic,quality_session_design,1755,0.351
consistent_tie,readiness_alignment,505,0.101
other_inconsistent,readiness_alignment,1803,0.3606
position_consistent_plan_a,readiness_alignment,1278,0.2556
position_consistent_plan_b,readiness_alignment,296,0.0592
source_consistent_llm,readiness_alignment,335,0.067
source_consistent_programmatic,readiness_alignment,783,0.1566
consistent_tie,recovery_safety,302,0.0604
other_inconsistent,recovery_safety,1454,0.2908
position_consistent_plan_a,recovery_safety,2305,0.461
position_consistent_plan_b,recovery_safety,27,0.0054
source_consistent_llm,recovery_safety,144,0.0288
source_consistent_programmatic,recovery_safety,768,0.1536
consistent_tie,training_specificity,56,0.0112
other_inconsistent,training_specificity,890,0.178
position_consistent_plan_a,training_specificity,410,0.082
position_consistent_plan_b,training_specificity,1615,0.323
source_consistent_llm,training_specificity,951,0.1902
source_consistent_programmatic,training_specificity,1078,0.2156
