llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,programmatic_win_rate_all,programmatic_wins,self_family_match,tie_rate,ties
0.2852,0.40812821980538067,0.4358,1426,clarity_actionability,5000,0.4136,2068,False,0.3012,1506
0.2568,0.4040276903713027,0.439,1284,clarity_actionability,5000,0.3788,1894,True,0.3644,1822
0.302,0.32676909759792255,0.3399,1510,endurance_development,5000,0.6222,3111,False,0.0758,379
0.3072,0.3293310463121784,0.3408,1536,endurance_development,5000,0.6256,3128,True,0.0672,336
0.2642,0.3282803180914513,0.3618,1321,explanation_quality,5000,0.5406,2703,False,0.1952,976
0.2514,0.31590851972857503,0.3535,1257,explanation_quality,5000,0.5444,2722,True,0.2042,1021
0.3356,0.3627323821876351,0.373,1678,load_progression,5000,0.5896,2948,False,0.0748,374
0.308,0.33928178012778143,0.3541,1540,load_progression,5000,0.5998,2999,True,0.0922,461
0.303,0.37884471117779445,0.4031,1515,plan_coherence,5000,0.4968,2484,False,0.2002,1001
0.264,0.34055727554179566,0.3764,1320,plan_coherence,5000,0.5112,2556,True,0.2248,1124
0.2758,0.3362594489148988,0.3657,1379,quality_session_design,5000,0.5444,2722,False,0.1798,899
0.2808,0.3326226012793177,0.3587,1404,quality_session_design,5000,0.5634,2817,True,0.1558,779
0.3038,0.4179966978536048,0.4404,1519,readiness_alignment,5000,0.423,2115,False,0.2732,1366
0.2688,0.3782718829158458,0.4135,1344,readiness_alignment,5000,0.4418,2209,True,0.2894,1447
0.3232,0.4055207026348808,0.4247,1616,recovery_safety,5000,0.4738,2369,False,0.203,1015
0.2974,0.3757897397017943,0.4017,1487,recovery_safety,5000,0.494,2470,True,0.2086,1043
0.429,0.4797584433012749,0.4819,2145,training_specificity,5000,0.4652,2326,False,0.1058,529
0.4446,0.49105367793240556,0.4919,2223,training_specificity,5000,0.4608,2304,True,0.0946,473
